product_name,image,cat_l0,cat_l1,cat_l2,cat_l3,barcode,brand,manufacturer,capacity,effect,price,source,href
Nước lau sàn TrueCare baby charming 3.6kg,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,TrueCare,,,,83000,,https://cooponline.vn/products/nuoc-lau-san-truecare-baby-charming-3-6kg/,98500
Nước lau sàn Coop Select bạc hà 9kg,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,Coop Select,,,,125000,,https://cooponline.vn/products/nuoc-lau-san-coop-select-bac-ha-9kg/,162000
Nước lau sàn Coop Select hoa hạ 3.6L,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,Coop Select,,,,59000,,https://cooponline.vn/products/nuoc-lau-san-coop-select-hoa-ha-3-6l/,79900
Nước lau sàn Coop Select bạc hà 3.6L,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,Coop Select,,,,79900,,https://cooponline.vn/products/nuoc-lau-san-coop-select-bac-ha-3-6l/,
Nước lau sàn Power 100 hương thiên nhiên 3.8/3.5kg,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,Power,,,,91200,,https://cooponline.vn/products/nuoc-lau-san-power-100-huong-thien-nhien-3-5kg/,
Nước lau bếp On1 tinh dầu chanh yuzu 500ml,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,ON1,,,,31000,,https://cooponline.vn/products/nuoc-lau-bep-on1-tinh-dau-chanh-yuzu-500ml/,
Nước lau kính Lix 650ml,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,Lix,,,,27200,,https://cooponline.vn/products/nuoc-lau-kinh-lix-650ml/,
Nước lau sàn gỗ Earth Choice 4in1 chai 750ml – F,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,,,,,150000,,https://cooponline.vn/products/nuoc-lau-san-go-earth-choice-4in1-chai-750ml-f/,
Nước lau sàn Sunlight tinh dầu thảo mộc hoa hạ và bạc hà 3.6kg,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,Sunlight,,,,93000,,https://cooponline.vn/products/nuoc-lau-san-sunlight-tinh-dau-thao-moc-hoa-ha-va-bac-ha-3-6kg/,
Nước lau sàn Sunlight tinh dầu thảo mộc hương hoa lily và hương thảo túi 3.6kg,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,Sunlight,,,,66300,,https://cooponline.vn/products/nuoc-lau-san-sunlight-tinh-dau-thao-moc-huong-hoa-lily-va-huong-thao-tui-3-6kg/,80000
Nước lau sàn Power 100 hương chanh sả 3.8/3.5kg,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,,,,,91200,,https://cooponline.vn/products/nuoc-lau-san-power-100-huong-chanh-sa-3-5kg/,
Nước tẩy toilet Power100 bạc hà 900g,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,Power100,,,,28000,,https://cooponline.vn/products/nuoc-tay-toilet-power100-bac-ha-900g/,37000
Nước lau sàn Sunlight tinh dầu hương hoa hạ và bạc hà chai 1kg,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,Sunlight,,,,34000,,https://cooponline.vn/products/nuoc-lau-san-sunlight-tinh-dau-huong-hoa-ha-va-bac-ha-chai-1kg/,
Nước lau sàn Sunlight tinh dầu hương hoa lily và hương thảo chai 1kg,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,Sunlight,,,,34000,,https://cooponline.vn/products/nuoc-lau-san-sunlight-tinh-dau-huong-hoa-lily-va-huong-thao-chai-1kg/,
Bột thông cống PVB 150g,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,PVB,,,,33400,,https://cooponline.vn/products/bot-thong-cong-pvb-150g/,
Bột thông cầu PVB 250g,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,PVB,,,,41300,,https://cooponline.vn/products/bot-thong-cau-pvb-250g/,
Nước lau sàn Lix nắng hạ 3.6L,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,Lix,,,,108200,,https://cooponline.vn/products/nuoc-lau-san-lix-nang-ha-3-6l/,
Nước lau sàn Lix đuổi côn trùng 3.6L,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,Lix,,,,66000,,https://cooponline.vn/products/nuoc-lau-san-lix-duoi-con-trung-3-6l/,112500
Chất thông cống Venus 115 1L,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,Venus,,,,55600,,https://cooponline.vn/products/chat-thong-cong-venus-115-1l/,
Nước thông cầu vi sinh Venus 175 1L,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,Venus,,,,55600,,https://cooponline.vn/products/nuoc-thong-cau-vi-sinh-venus-175-1l/,
Nước lau sàn On1 tinh dầu đinh hương và hoắc hương 2.6L,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,ON1,,,,105700,,https://cooponline.vn/products/nuoc-lau-san-on1-tinh-dau-dinh-huong-va-hoac-huong-2-6l/,
Nước lau kính SWAT sắc biển 580ml,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,SWAT,,,,23000,,https://cooponline.vn/products/nuoc-lau-kinh-swat-sac-bien-580ml/,
Bột Xử Lý Hầm Cầu Hando 300g,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,Hando,,,,31500,,https://cooponline.vn/products/bot-xu-ly-ham-cau-hando-300g/,
Nước thông cống Hando Xuất Khẩu 570ml,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,Hando,,,,34300,,https://cooponline.vn/products/nuoc-thong-cong-hando-xuat-khau-570ml/,
Bột thông cống Hando 100g,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,Hando,,,,15500,,https://cooponline.vn/products/bot-thong-cong-hando-100g/,16800
Nước lau sàn hương hoa hồng Mao Bao 1L,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,Mao Bao,,,,33000,,https://cooponline.vn/products/nuoc-lau-san-huong-hoa-hong-mao-bao-1l/,
Nước lau sàn hương làn gió biển Mao Bao 1L,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,Mao Bao,,,,33000,,https://cooponline.vn/products/nuoc-lau-san-huong-lan-gio-bien-mao-bao-1l/,
Nước lau sàn hương hoa oải hương Mao Bao 1L,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,Mao Bao,,,,33000,,https://cooponline.vn/products/nuoc-lau-san-huong-hoa-oai-huong-mao-bao-1l/,
"Nước lau sàn Gift Sweet Iris 3,8kg",,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,Á Mỹ Gia,,,,93500,,https://cooponline.vn/products/nuoc-lau-san-gift-sweet-iris-38-kg/,
"Nước lau sàn Gift Pink Sakura 3,8kg",,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,Á Mỹ Gia,,,,93500,,https://cooponline.vn/products/nuoc-lau-san-gift-pink-sakura-38kg/,
Nước Lau Sàn Gift hương bạc hà 3.8kg,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,Á Mỹ Gia,,,,93500,,https://cooponline.vn/products/nuoc-lau-san-gift-huong-bac-ha-3-8kg/,
Nước lau sàn Gift hương LiLy 3.8 kg,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,Á Mỹ Gia,,,,93500,,https://cooponline.vn/products/nuoc-lau-san-gift-huong-lily-3-8-kg/,
Dung dịch tẩy dầu mỡ Yuwa hương cam 400,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,Yuwa,,,,80000,,https://cooponline.vn/products/dung-dich-tay-dau-mo-yuwa-huong-cam-400ml/,
Nước lau sàn SWAT hoàng lan 1L,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,SWAT,,,,28900,,https://cooponline.vn/products/nuoc-lau-san-swat-hoang-lan-1l/,
Nước lau sàn SWAT hương baby 1L,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,SWAT,,,,33000,,https://cooponline.vn/products/nuoc-lau-san-swat-huong-baby-1l/,
Nước lau kính Coop Select 620ml,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,Coop Select,,,,26800,,https://cooponline.vn/products/nuoc-lau-kinh-coop-select-620ml/,
Nước lau sàn Botany hương chanh sả 1.25L,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,Botany,,,,69000,,https://cooponline.vn/products/nuoc-lau-san-botany-huong-chanh-sa-1-25l/,
Nước lau kính Coop Select 800ml,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,Coop Select,,,,24500,,https://cooponline.vn/products/nuoc-lau-kinh-coop-select-800ml/,29900
Nước lau bếp Coop Select 620ml,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,Coop Select,,,,27500,,https://cooponline.vn/products/nuoc-lau-bep-coop-select-620ml/,33100
Bột Phân Hủy Thông Cầu Amiphot 220g,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,Amiphot,,,,28000,,https://cooponline.vn/products/bot-phan-huy-thong-cau-amiphot-220g/,
Nước Lau Kính Gift Hương Sắc Biển 800ml,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,Gift,,,,28000,,https://cooponline.vn/products/nuoc-lau-kinh-gift-huong-sac-bien-800ml/,
Nước lau sàn Gift hương Y Lang 1L,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,Á Mỹ Gia,,,,32900,,https://cooponline.vn/products/nuoc-lau-san-gift-huong-y-lang-1l/,
Nước lau sàn Gift hương bạc hà 1L,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,Á Mỹ Gia,,,,32900,,https://cooponline.vn/products/nuoc-lau-san-gift-huong-bac-ha-1l/,
Nước rửa kính GIFT trà xanh diệt khuẩn 540ml,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,Á Mỹ Gia,,,,23000,,https://cooponline.vn/products/nuoc-rua-kinh-gift-tra-xanh-diet-khuan-540ml/,
Nước lau bếp GIFT cam 540ml,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,Á Mỹ Gia,,,,30900,,https://cooponline.vn/products/nuoc-lau-bep-gift-cam-540ml-520ml/,
Nước Lau Kính Sumo 800ml,,,Nhà cửa và đời sống,Vệ sinh nhà cửa,"Nước lau kính, lau bếp, lau sàn",,Sumo,,,,38200,,https://cooponline.vn/products/nuoc-lau-kinh-sumo-800ml/,
Thức uống sữa trái cây nho Mistori 48 x 110ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Mistori,,,,235000,,https://cooponline.vn/products/thuc-uong-sua-trai-cay-nho-mistori-48-x-110ml/,
Thức uống sữa trái cây nho Mistori 4 x 110ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Mistori,,,,20000,,https://cooponline.vn/products/thuc-uong-sua-trai-cay-nho-mistori-4-x-110ml/,
Thức uống sữa trái cây cam Mistori 48 x 110ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Mistori,,,,235000,,https://cooponline.vn/products/thuc-uong-sua-trai-cay-cam-mistori-48-x-110ml/,
Thức uống sữa trái cây cam Mistori 4 x 110ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Mistori,,,,20000,,https://cooponline.vn/products/thuc-uong-sua-trai-cay-cam-mistori-4-x-110ml/,
Thức uống sữa trái cây dâu Mistori 48 x 110ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Mistori,,,,235000,,https://cooponline.vn/products/thuc-uong-sua-trai-cay-dau-mistori-48-x-110ml/,
Thức uống sữa trái cây dâu Mistori 4 x 110ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Mistori,,,,20000,,https://cooponline.vn/products/thuc-uong-sua-trai-cay-dau-mistori-4-x-110ml/,
Sữa Pororo chuối hg190ml – CX – F,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,,,,,37900,,https://cooponline.vn/products/sua-pororo-chuoi-hg190ml-f/,
Thức uống sữa tươi trái cây NuVi vị dâu 4 x 180ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Nuvi,,,,28000,,https://cooponline.vn/products/thuc-uong-sua-tuoi-trai-cay-nuvi-vi-dau-4-x-180ml/,
Thức uống sữa tươi NuVi trái cây nhiệt đới 48 x 180ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Nuvi,,,,334000,,https://cooponline.vn/products/thuc-uong-sua-tuoi-nuvi-trai-cay-nhiet-doi-48-x-180ml/,
Thức uống sữa tươi NuVi trái cây nhiệt đới 4 x 180ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Nuvi,,,,28000,,https://cooponline.vn/products/thuc-uong-sua-tuoi-nuvi-trai-cay-nhiet-doi-4-x-180ml/,
Sữa trái cây Vinamilk Hero nho 4 x 110ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Vinamilk,,,,16700,,https://cooponline.vn/products/sua-trai-cay-vinamilk-hero-nho-4-x-110ml/,
Sữa trái cây Vinamilk Hero cam 48 x 110ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Vinamilk,,,,196500,,https://cooponline.vn/products/sua-trai-cay-vinamilk-hero-cam-48-x-110ml/,
Sữa trái cây Vinamilk Hero dâu 48 x 110ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Vinamilk,,,,196500,,https://cooponline.vn/products/sua-trai-cay-vinamilk-hero-dau-48-x-110ml/,
Sữa trái cây Vinamilk Hero dâu 4 x 110ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Vinamilk,,,,16700,,https://cooponline.vn/products/sua-trai-cay-vinamilk-hero-dau-4-x-110ml/,
Sữa tiệt trùng Binggrae melon 6 x 200ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Binggrae,,,,109000,,https://cooponline.vn/products/sua-tiet-trung-binggrae-melon-6-x-200ml/,
Sữa tiệt trùng Binggrae chuối 6 x 200ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Binggrae,,,,109000,,https://cooponline.vn/products/sua-tiet-trung-binggrae-chuoi-6-x-200ml/,
Sữa trái cây LOF KUN LOF KUN nho lốc 6x85ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Kun,,,,23000,,https://cooponline.vn/products/sua-trai-cay-lof-kun-lof-kun-nho-loc-6x85ml/,25500
Sữa trái cây LOF KUN trái cây lốc 6x85ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Kun,,,,23000,,https://cooponline.vn/products/sua-trai-cay-lof-kun-trai-cay-loc-6x85ml/,25500
Sữa trái cây LOF KUN trái cây thùng 48x85ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Kun,,,,180000,,https://cooponline.vn/products/sua-trai-cay-lof-kun-trai-cay-thung-48x85ml/,200000
Sữa trái cây Kun táo xoài lốc 6 x 85ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Kun,,,,23000,,https://cooponline.vn/products/sua-trai-cay-kun-tao-xoai-loc-6-x-85ml/,25500
Sữa trái cây Kun táo xoài thùng 48 x 85ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Kun,,,,180000,,https://cooponline.vn/products/sua-trai-cay-kun-tao-xoai-thung-48-x-85ml/,200000
Nước uống sữa trái cây Twister vị dâu thùng 24 chai x 320ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Suntory Pepsico,,,,218000,,https://cooponline.vn/products/nuoc-sua-trai-cay-twister-vi-dau-thung-24-chai-x-320ml/,
Nước uống sữa trái cây Twister vị dâu lốc 6 chai x 320ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Suntory Pepsico,,,,56000,,https://cooponline.vn/products/nuoc-sua-trai-cay-twister-vi-dau-loc-6-chai-x-320ml/,
Nước uống sữa trái cây Twister vị dâu chai 320ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Suntory Pepsico,,,,10000,,https://cooponline.vn/products/nuoc-sua-trai-cay-twister-vi-dau-chai-320ml/,
Nước uống sữa trái cây Twister vị cam thùng 24 chai x 320ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Suntory Pepsico,,,,218000,,https://cooponline.vn/products/nuoc-sua-trai-cay-twister-vi-cam-thung-24-chai-x-320ml/,
Nước uống sữa trái cây Twister vị cam lốc 6 chai x 320ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Suntory Pepsico,,,,56000,,https://cooponline.vn/products/nuoc-sua-trai-cay-twister-vi-cam-loc-6-chai-x-320ml/,
Nước rau củ vị dâu Nuvi 4 x 180ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,NutiMilk,,,,29000,,https://cooponline.vn/products/nuoc-rau-cu-vi-dau-nuvi-4-x-180ml/,
Nước rau củ vị cam Nuvi 4 x 180ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,NutiMilk,,,,29000,,https://cooponline.vn/products/nuoc-rau-cu-vi-cam-nuvi-4-x-180ml/,
Sữa trái cây thạch Kun cam thùng 48 x 170ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Nuvi,,,,375000,,https://cooponline.vn/products/sua-trai-cay-thach-kun-cam-thung-48-x-170ml/,
Sữa trái cây thạch Kun cam 4 x 170ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Kun,,,,31900,,https://cooponline.vn/products/sua-trai-cay-thach-kun-cam-4-x-170ml/,
Sữa trái cây Kun dâu thùng 48 x 180ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Kun,,,,337200,,https://cooponline.vn/products/sua-trai-cay-kun-dau-thung-48-x-180ml/,
Sữa trái cây Kun cam thùng 48 x 180ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Kun,,,,337200,,https://cooponline.vn/products/sua-trai-cay-kun-cam-thung-48-x-180ml/,
Sữa trái cây Kun nho thùng 48 x 180ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Kun,,,,337200,,https://cooponline.vn/products/sua-trai-cay-kun-nho-thung-48-x-180ml/,
Sữa trái cây Kun nhiệt đới thùng 48 x 180ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Kun,,,,337200,,https://cooponline.vn/products/sua-trai-cay-kun-nhiet-doi-thung-48-x-180ml/,
Sữa tươi trái cây Nuvi cam 4x180ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Nutifood,,,,28000,,https://cooponline.vn/products/sua-tuoi-trai-cay-nuvi-cam-4x180ml/,
Sữa tươi trái cây Nuvi nho 4x180ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Nutifood,,,,28000,,https://cooponline.vn/products/sua-tuoi-trai-cay-nuvi-nho-4x180ml/,
Sữa trái cây Vinamilk Hero dưa hấu lốc 4x180ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Vinamilk,,,,26500,,https://cooponline.vn/products/sua-trai-cay-vinamilk-hero-dua-hau-loc-4x180ml/,
Sữa trái cây Vinamilk Hero dưa hấu thùng 48x180ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Vinamilk,,,,314000,,https://cooponline.vn/products/sua-trai-cay-vinamilk-hero-dua-hau-thung-48x180ml/,
Nước uống sữa trái cây TH chuối 300ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,TH Truemilk,,,,12000,,https://cooponline.vn/products/nuoc-uong-sua-trai-cay-th-chuoi-300ml/,
Nước uống sữa trái cây TH việt quất 300ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,TH Truemilk,,,,12000,,https://cooponline.vn/products/nuoc-uong-sua-trai-cay-th-viet-quat-300ml/,
Sữa trái cây Vinamilk hero cam 4x110ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Vinamilk,,,,16700,,https://cooponline.vn/products/sua-trai-cay-vinamilk-hero-cam-4x110ml/,
Sữa dừa Vietcoco socola 330ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,VIETCOCO,,,,17000,,https://cooponline.vn/products/sua-dua-vietcoco-socola-330ml/,
Nước uống sữa trái cây Nutriboost dâu yến mạch 6x1L,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Coca Cola,,,,161500,,https://cooponline.vn/products/nuoc-uong-sua-trai-cay-nutri-dau-yen-mach-6x1l/,
Nước uống sữa trái cây Nutriboost cam mật ong 6x1L,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Coca Cola,,,,161500,,https://cooponline.vn/products/nuoc-uong-sua-trai-cay-nutri-cam-mat-ong-6x1l/,
Nước uống sữa trái cây Nutri Boost dâu yến mạch lốc 6 chai x 297ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Coca Cola,,,,58000,,https://cooponline.vn/products/nuoc-uong-sua-trai-cay-nutri-boots-dau-yen-mach-loc-6-chai-x-297ml/,
Nước uống sữa trái cây Nutri Boost cam mật ong lốc 6 chai x 297ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Coca Cola,,,,58000,,https://cooponline.vn/products/nuoc-uong-sua-trai-cay-nutri-boots-cam-mat-ong-loc-6-chai-x-297ml/,
Nước uống sữa trái cây Nutriboost cam mật ong 297ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Coca Cola,,,,10300,,https://cooponline.vn/products/nuoc-uong-sua-trai-cay-nutri-cam-mat-ong-297ml/,
Nước uống sữa trái cây Nutriboost dâu yến mạch 297ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Coca Cola,,,,10300,,https://cooponline.vn/products/nuoc-uong-sua-trai-cay-nutri-dau-yen-mach-297ml/,
Nước uống sữa trái cây dâu yến mạch Nutri Boost 1L,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Coca Cola,,,,29200,,https://cooponline.vn/products/nuoc-uong-sua-trai-cay-dau-yen-mach-nutri-boost-1l/,
Nước uống sữa trái cây cam mật ong Nutri Boost 1L,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,Coca Cola,,,,29200,,https://cooponline.vn/products/nuoc-uong-sua-trai-cay-cam-mat-ong-nutri-boost-1l/,
Nước uống sữa trái cây TH cam chai 300ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,TH Truemilk,,,,12000,,https://cooponline.vn/products/nuoc-uong-sua-trai-cay-th-cam-chai-300ml/,
Nước uống sữa trái cây TH dâu chai 300ml,,,"Sữa, sản phẩm từ sữa",Sữa các loại,Sữa trái cây,,TH Truemilk,,,,12000,,https://cooponline.vn/products/nuoc-uong-sua-trai-cay-th-dau-chai-300ml/,
Nước tẩy trang Nivea Acne Care MicellAIR Oxygen Boost 400ml.,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,NIVEA,,,,131000,,https://cooponline.vn/products/nuoc-tay-trang-nivea-acne-care-micellair-oxygen-boost-400ml/,204000
Bông tẩy trang Calla sạch da 3D 200 miếng,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,Calla,,,,52000,,https://cooponline.vn/products/bong-tay-trang-calla-sach-da-3d-200-mieng/,55000
Bông tẩy trang ipek 100 miếng + 30 miếng – FAu – F,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,,,,,39200,,https://cooponline.vn/products/bong-tay-trang-ipek-100-mieng-30-mieng-fau-f/,
Nước tẩy trang Simple Purifying da mụn 400ml,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,Simple,,,,191000,,https://cooponline.vn/products/nuoc-tay-trang-simple-purifying-da-mun-400ml/,198000
Bông tẩy trang Vanila 150+ 40 miếng,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,Vanila,,,,59500,,https://cooponline.vn/products/bong-tay-trang-vanila-150-40-mieng/,
Nước tẩy trang Simple HA cấp ẩm 400ml,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,Simple,,,,168000,,https://cooponline.vn/products/nuoc-tay-trang-simple-ha-cap-am-400ml/,198000
Nước tẩy trang Hazeline tràm trà Cica 375ml,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,Hazeline,,,,102000,,https://cooponline.vn/products/nuoc-tay-trang-hazeline-tram-tra-cica-375ml/,135000
Bông tẩy trang tròn Coop Select 150 miếng,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,Coop Select,,,,35000,,https://cooponline.vn/products/bong-tay-trang-tron-coop-select-150-mieng/,
Bông tẩy trang tròn Coop Select 50 miếng,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,Coop Select,,,,17500,,https://cooponline.vn/products/bong-tay-trang-tron-coop-select-50-mieng/,
Bông tẩy trang Cotoneve maxi 50 miếng,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,Cotoneve,,,,58000,,https://cooponline.vn/products/bong-tay-trang-cotoneve-maxi-50-mieng/,
Bông tẩy trang Pop-Puf dạng túi 80 miếng,,,Chăm sóc cá nhân,"Mỹ phẩm, chăm sóc da",Tẩy trang,,,,,,41900,,https://cooponline.vn/products/bong-tay-trang-pop-puf-dang-tui-80-mieng/,
