product_name,image,cat_l0,cat_l1,cat_l2,cat_l3,barcode,brand,manufacturer,capacity,effect,price,source,href
Tương ớt Sempio hộp 500g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Sempio,,,,85500,,https://cooponline.vn/products/tuong-ot-sempio-hop-500g/,
Tương ớt siêu cay Cholimex 330g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Cholimex,,,,16400,,https://cooponline.vn/products/tuong-ot-sieu-cay-cholimex-330g/,16900
Tương ớt Nam Dương cay vừa 255g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Nam Dương,,,,8000,,https://cooponline.vn/products/tuong-ot-nam-duong-cay-vua-255g/,11200
Tương cà Dellycook pet 270g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,,,,,8500,,https://cooponline.vn/products/tuong-ca-dellycook-pet-270g/,12300
Tương ớt Dellycook pet 270g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Tinh Nguyên,,,,8500,,https://cooponline.vn/products/tuong-ot-dellycook-pet-270g/,12300
Tương ớt Knorr 5 vị cay đậm 450g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Unilever,,,,21600,,https://cooponline.vn/products/tuong-ot-knorr-5-vi-cay-dam-450g/,24500
Tương cà Nam Dương 500g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Nam Dương,,,,15200,,https://cooponline.vn/products/tuong-ca-nam-duong-500g/,20500
Tương cà Chinsu chai 500g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,ChinSu,,,,30900,,https://cooponline.vn/products/tuong-ca-chinsu-chai-500g/,
Tương ớt Knorr cay đậm chai 220g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Knorr,,,,14500,,https://cooponline.vn/products/tuong-ot-knorr-cay-dam-chai-220g/,16400
Tương cà CHOLIMEX chai nhựa 270g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Cholimex,,,,11600,,https://cooponline.vn/products/tuong-ca-cholimex-chai-nhua-270g/,
Tương cà chua Heinz chai 300g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Heinz,,,,35000,,https://cooponline.vn/products/tuong-ca-chua-heinz-chai-300g/,
Tương cà Nam Dương Horeca bình 2.2kg,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Nam Dương,,,,49500,,https://cooponline.vn/products/tuong-ca-nam-duong-horeca-binh-2-2kg/,51900
Tương ớt Nam Dương hàng Việt chai 800g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Nam Dương,,,,23200,,https://cooponline.vn/products/tuong-ot-nam-duong-hang-viet-chai-800g/,
Tương ớt Knorr Tròn 5 vị chai 220g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Knorr,,,,14500,,https://cooponline.vn/products/tuong-ot-knorr-tron-5-vi-chai-220g/,16400
Tương ớt Cholimex nắp ngược chai 250g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Cholimex,,,,13000,,https://cooponline.vn/products/tuong-ot-cholimex-nap-nguoc-chai-250g/,
Tương ớt chua ngọt Cholimex chai thủy tinh 270g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Cholimex,,,,14300,,https://cooponline.vn/products/tuong-ot-chua-ngot-cholimex-chai-thuy-tinh-270g/,
"Tương đen Cholimex bình 2,1kg",,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Cholimex,,,,60900,,https://cooponline.vn/products/tuong-den-cholimex-binh-21kg/,
Tương cà Cholimex Ketchup chai 330g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Cholimex,,,,23800,,https://cooponline.vn/products/tuong-ca-cholimex-ketchup-chai-330g/,
Tương hột Cholimex hủ 250g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Cholimex,,,,10600,,https://cooponline.vn/products/tuong-hot-cholimex-hu-250g/,
Tương cà Cholimex 2.1kg,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Cholimex,,,,60900,,https://cooponline.vn/products/tuong-ca-cholimex-2-1kg/,
Tương chấm ăn liền CJ 500G,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,CJ Food,,,,50200,,https://cooponline.vn/products/tuong-cham-an-lien-cj-500g/,
Tương đậu truyền thống CJ 500G,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,CJ Food,,,,47200,,https://cooponline.vn/products/tuong-dau-truyen-thong-cj-500g/,
Tương ớt Chinsu chai 500g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,ChinSu,,,,29500,,https://cooponline.vn/products/tuong-ot-chinsu-chai-500g/,
Tương ớt Heinz Chilli Sauce 300g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Heinz,,,,35000,,https://cooponline.vn/products/tuong-ot-heinz-chilli-sauce-300g/,
Tương ớt Nam Dương 470g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Nam Dương,,,,14500,,https://cooponline.vn/products/tuong-ot-nam-duong-470g/,18200
Tương ớt đặc biệt cay Nam Dương 400g,,,"Gia vị, gạo, thực phẩm khô","Tương, sốt","Tương ớt, tương cà, tương đen",,Nam Dương,,,,12500,,https://cooponline.vn/products/tuong-ot-dac-biet-cay-nam-duong-400g/,17200
